codi;sigles;assignatura
230736;IMD;INTRODUCTION TO MICROELECTRONIC DESIGN
230737;IMS;INTRODUCTION TO MEASUREMENT SYSTEMS
230738;NED;NANOTECHNOLOGIES AND ELECTRONIC DEVICES
230739;PCPE;PRINCIPLES OF CONTROL AND POWER ELECTRONICS
230740;IRI;INTRODUCTION TO RESEARCH AND INNOVATION
230744;AMLAB;ANTENNAS AND MICROWAVES FOR COMMUNICATION SYSTEMS LABORATORY
230745;MPTH;MICROWAVE PHOTONICS AND TERAHERTZ RESEARCH AND APPLICATIONS
230811;CBI;INNOVACIÓ BASADA EN REPTES
230817;ARAP;APRENENTATGE PER REFORÇ I APRENENTATGE PROFUND
230818;I2RCED;INTRODUCCIÓ A LA RECERCA EN CIÈNCIA I ENGINYERIA DE DADES
230819;DSBIO;CIÈNCIA DE DADES EN BIOINFORMÀTICA I BIOLOGIA COMPUTACIONAL
230850;CPC;CRITICAL PHENOMENA AND COMPLEXITY
230851;QM;QUANTUM MATTER
230852;SEM;SURFACE ENGINEERING AND MICRODEVICES
230854;PM;PROJECT MANAGEMENT
230855;FM;PHYSICS OF MATERIALS
230857;NMC;NUMERICAL METHODS FOR CONTINUOUS SYSTEMS
230859;FAM;ATOMIC AND MOLECULAR PHYSICS
230862;CAS;COMPUTATIONAL ASTROPHYSICS
230900;CCE;COMPONENTS I CIRCUITS ELECTRÒNICS
230901;APR;ALGORÍSMIA I PROGRAMACIÓ
230902;F;FÍSICA
230903;C;CÀLCUL
230904;ALN;ÀLGEBRA LINEAL
230910;DE;DISPOSITIUS ELECTRÒNICS
230911;DD;DISSENY DIGITAL
230912;EAFO;ELECTROMAGNETISME APLICAT I FOTÒNICA
230913;SST;SENYALS I SISTEMES
230914;PPE;PROBABILITAT I PROCESSOS ESTOCÀSTICS
230920;SM;SISTEMES DE MESURA
230921;SDC;SISTEMES DIGITALS CONFIGURABLES
230922;CIAF;CIRCUITS D'ALTA FREQÜÈNCIA
230923;CEM;CIÈNCIA I ENGINYERIA DE MATERIALS
230924;CTR;SISTEMES DE CONTROL
230930;DMIC;DISSENY MICROELECTRÒNIC
230931;HIPS;SISTEMES DE HARDWARE DE PROCESSAMENT DE LA INFORMACIÓ
230932;INT;INTEGRACIÓ DE SISTEMES
230991;BKCHAIN;BLOCKCHAIN
230993;TMA;NETWORK TRAFFIC MONITORING AND ANALYSIS
230994;MALW;MALWARE
230995;AS;APPLICATION SECURITY
2301116;SEMPHO;SEMICONDUCTOR PHOTONICS: APPLICATIONS AND TECHNOLOGY
2301117;QBAP;QUANTUM APPLICATIONS
2301208;IEL;INNOVATION, ENTREPRENEURSHIP AND LEADERSHIP
2301209;MCH;CHARACTERISATION OF MATERIALS
2301210;FPE;FLEXIBLE AND PRINTED ELECTRONICS
2301211;IP;INTEGRATED PHOTONICS
2301212;MS;MICROSENSORS
2301213;PDS;POWER DEVICES AND SYSTEMS
2301214;ETC;EMERGING TECHNOLOGIES FOR COMPUTING
2301215;ASIC;ASIC DESIGN FOR HIGHLY SECURE SYSTEMS
2301216;AIPCD;ADVANCED IP CORE DESIGN
2301217;RFICD;RF IC DESIGN
2301218;MSIPD;MIXED SIGNAL IP DESIGN
2301219;ISCIRD;INTEGRATED SENSORS AND CIRCUITS FOR RADIATION DETECTORS AND IMAGERS
2301220;PMCASIC;POWER MANAGEMENT CIRCUITS IN ASICS
2301221;SMIAR;SEMINARS ON MICROELECTRONIC INDUSTRY AND ADVANCED RESEARCH
2301222;TFM MSM;MASTER'S THESIS
230158;BT;TECNOLOGIES BLOCKCHAIN
230204;DRCAV;DESCRIPCIÓ I RECUPERACIÓ DE CONTINGUTS AUDIOVISUALS
230253;LCM;LABORATORI DE COMUNICACIONS MÒBILS
230257;TELESP;TELECOMUNICACIÓ ESPACIAL
230318;PROJ-ICT4D;PROJECTE DE COOPERACIÓ AMB TECNOLOGIES WIFI
230325;IDL;INTRODUCCIÓ A L'APRENENTATGE PROFUND
230327;PSM;PROCESSAMENT DEL SENYAL MUSICAL
230333;MLSI;APRENENTATGE AUTOMÀTIC PER A IMATGES DE  SATÈL·LIT
230334;ELEAUTO;SISTEMES ELECTRÒNICS EN AUTOMOCIÓ
230338;APATP;APRENENTATGE AUTOMÀTIC: DE LA TEORIA A LA PRÀCTICA
230375;GSP;GRAPH SIGNAL PROCESSING
230378;GNSS;BIG GNSS DATA: FROM REMOTE SENSING TO SPACE WEATHER
230379;MCC;MODERN CHANNEL CODING
230380;TM;NEW TELECOMMUNICATIONS MARKETS
230382;AI2OT;ARTIFICIAL INTELLIGENCE AND INTERNET OF THINGS (IOT)
230385;SATCOM-NTN;INTEGRATED SATELLITE-TERRESTRIAL COMMUNICATIONS FOR 6G
230390;WEF;WHY ELECTRONS FLOW: UNDERSTANDING SOLAR CELLS
230455;CAL2;CÀLCUL II
230456;MM1;MÈTODES MATEMÀTICS I
230457;FIS2;FÍSICA II
230458;QOB;QUÍMICA ORGÀNICA I BIOQUÍMICA
230459;BIOF1;BIOFÍSICA I
230464;MNC2;MÈTODES NUMÈRICS I COMPUTACIONALS II
230465;EMAG;ELECTROMAGNETISME
230468;MECQ;MECÀNICA QUÀNTICA
230471;ELF;ELECTRÒNICA FÍSICA
230472;TCIRC;TEORIA DE CIRCUITS
230473;FISES;FÍSICA ESTADÍSTICA
230475;TCTRL;TEORIA DE CONTROL
230476;INSTR;INSTRUMENTACIÓ
230477;PEF2;PROJECTES D'ENGINYERIA FÍSICA II
230478;FOT;FOTÒNICA
230554;EOTB;EXPERIMENTAL OPTICAL TECHNIQUES IN BIOLOGY
230565;ULTRA;ULTRAFAST AND ULTRAINTENSE LASER LIGHT
230572;MANAGL;MANAGING LIGHT WITH DEVICES
230584;ML;CLASSICAL AND QUANTUM MACHINE LEARNING
230587;OD;OPTICAL DESIGN
230609;RSEN;REMOTE SENSING FOR EARTH OBSERVATION
230610;RADN;RADAR AND RADIONAVIGATION AND LOCATION SYSTEMS
230616;QSN;QUALITY OF SERVICE IN NETWORKS
230619;NET;NETWORK SCIENCE
230623;SLPDL;SPEECH AND LANGUAGE PROCESSING WITH DEEP LEARNING
230637;CTC;CRITICAL THINKING AND CREATIVITY
230662;CSAS;ADAPTIVE INTELLIGENT SYSTEMS
230663;RICS;RADIOFREQUENCY INTEGRATED CIRCUITS AND SYSTEMS
230665;AMS;ANALOGUE AND MIXED-SIGNAL SYSTEM-ON-CHIP DESIGN
230667;SCPD;SYSTEM-ON-CHIP PHYSICAL DESIGN
230669;MEMS;MICROELECTROMECHANICAL SYSTEMS
